"渠道","概率"
"青专","0.00001525902189669642175936522468909742885481"
"仙达","0.00006103608758678568703746089875638971541924"
"雪铁龙","0.00003051804379339284351873044937819485770962"
"斯柯达","0.00001525902189669642175936522468909742885481"
"河北福田重机","0.00001525902189669642175936522468909742885481"
"瑞江","0.00001525902189669642175936522468909742885481"
"富迪","0.00001525902189669642175936522468909742885481"
"骏强","0.00001525902189669642175936522468909742885481"
"王牌","0.00001525902189669642175936522468909742885481"
"天顺","0.00001525902189669642175936522468909742885481"
"常奇","0.00001525902189669642175936522468909742885481"
"宝石(宝鸡)","0.00001525902189669642175936522468909742885481"
"冰花","0.00001525902189669642175936522468909742885481"
"上汽大众","0.0632333867399099717708094911116197451743"
"昌河铃木","0.002212558175020981155107957579919127183948"
"宝马","0.006897077897306782635233081559472037842374"
"别克","0.000427252613107499809262226291294728007935"
"启辰","0.002471961547264820325017166399633783474479"
"天津一汽","0.002014190890363927672236209658960860608835"
"北汽","0.001480125123979552910658426794842450598917"
"南京依维柯","0.002288853284504463263904783703364614328222"
"三菱","0.001159685664148928053711757076371404592966"
"海马","0.00123598077363241016250858319981689173724"
"长安铃木","0.009552147707331960021362630655374990463111"
"北汽威旺","0.000732433051041428244449530785076676585031"
"凯迪拉克","0.000808728160524910353246356908522163729305"
"东风雷诺","0.000122072175173571374074921797512779430838"
"红岩","0.001129167620355535210193026626993209735256"
"福特","0.001083390554665445944914930952925917448692"
"贵州航天","0.00003051804379339284351873044937819485770962"
"中燕","0.000122072175173571374074921797512779430838"
"成都大运","0.000167849240863660639353017471580071717403"
"大力士","0.000198367284657053482871747920958266575113"
"吉奥","0.000259403372243839169909208819714656290532"
"北京克莱斯勒","0.000122072175173571374074921797512779430838"
"东南三菱","0.000778210116731517509727626459143968871595"
"昌河","0.000778210116731517509727626459143968871595"
"海伦哲","0.00003051804379339284351873044937819485770962"
"海征","0.000137331197070267795834287022201876859693"
"中意","0.00003051804379339284351873044937819485770962"
"亚特重工","0.00004577706569008926527809567406729228656443"
"华晨鑫源","0.000167849240863660639353017471580071717403"
"三星","0.00001525902189669642175936522468909742885481"
"青年莲花","0.000137331197070267795834287022201876859693"
"汉腾","0.000183108262760357061112382696269169146258"
"吉悦","0.00003051804379339284351873044937819485770962"
"中顺","0.00006103608758678568703746089875638971541924"
"三力","0.000106813153276874952315556572823682001984"
"讴歌","0.000152590218966964217593652246890974288548"
"东岳重工","0.00009155413138017853055619134813458457312886"
"广汽客车","0.00001525902189669642175936522468909742885481"
"标致","0.00007629510948348210879682612344548714427405"
"浦沅","0.00001525902189669642175936522468909742885481"
"中天之星","0.00001525902189669642175936522468909742885481"
"奥路卡","0.00004577706569008926527809567406729228656443"
"青岛五菱","0.00001525902189669642175936522468909742885481"
"广汽本田","0.0214847028305485618371862363622491798276"
"北京现代","0.0480048828870069428549629968719005111772"
"哈弗","0.0146028839551384756237125200274662394141"
"沃尔沃","0.003082322423132677195391775387197680628672"
"奇瑞","0.0163881895170519569695582513160906385901"
"北汽幻速","0.001129167620355535210193026626993209735256"
"比亚迪","0.0176241702906843671320668345159075303273"
"比速","0.000122072175173571374074921797512779430838"
"广汽菲克","0.001922636758983749141680018310826276035706"
"旭达","0.00123598077363241016250858319981689173724"
"华泰","0.00079346913862821393148699168383306630045"
"奥迪","0.002883955138475623712520027466239414053559"
"锦重","0.00006103608758678568703746089875638971541924"
"江南","0.000106813153276874952315556572823682001984"
"思铭","0.000259403372243839169909208819714656290532"
"聚宝","0.00001525902189669642175936522468909742885481"
"东风风度","0.00004577706569008926527809567406729228656443"
"菲亚特","0.00006103608758678568703746089875638971541924"
"上海通用凯迪拉克","0.00007629510948348210879682612344548714427405"
"亚洁","0.00001525902189669642175936522468909742885481"
"三一汽车","0.00001525902189669642175936522468909742885481"
"华凯","0.00003051804379339284351873044937819485770962"
"坚盾","0.00001525902189669642175936522468909742885481"
"杨嘉","0.00001525902189669642175936522468909742885481"
"新飞","0.00001525902189669642175936522468909742885481"
"龙工","0.00001525902189669642175936522468909742885481"
"宝石(杭州)","0.00001525902189669642175936522468909742885481"
"金卡","0.00001525902189669642175936522468909742885481"
"扬天","0.00001525902189669642175936522468909742885481"
"新飞工","0.00001525902189669642175936522468909742885481"
"麒强","0.00003051804379339284351873044937819485770962"
"广汽传祺","0.006942854962996871900511177233539330128939"
"长安福特","0.0203402761882963302052338445105668726635"
"上汽通用别克","0.0464179446097505149919890135042343785763"
"一汽奥迪","0.0320286869611657892729076066224155031662"
"东风风神","0.002151522087434195468070496681162737468528"
"宝骏","0.0036469062333104448004882887006942854963"
"山西","0.00006103608758678568703746089875638971541924"
"黑豹(北京)","0.00001525902189669642175936522468909742885481"
"北京(福田)","0.000396734569314106965743495841916533150225"
"东风本田","0.0144350347142748149843595025558861676967"
"郑州日产","0.002197299153124284733348592355230029755093"
"大马","0.00007629510948348210879682612344548714427405"
"海格(苏州金龙)","0.000900282291905088883802548256656748302434"
"江铃福特","0.002288853284504463263904783703364614328222"
"宇通","0.001037613488975356679636835278858625162127"
"全球鹰","0.001556420233463035019455252918287937743191"
"绿叶","0.00004577706569008926527809567406729228656443"
"陆风","0.000427252613107499809262226291294728007935"
"捷豹","0.000839246204318303196765087357900358587015"
"欧铃","0.000228885328450446326390478370336461432822"
"斯达-斯太尔(济南)","0.00009155413138017853055619134813458457312886"
"凯马","0.000457770656900892652780956740672922865644"
"东风英菲尼迪","0.001129167620355535210193026626993209735256"
"双龙","0.000717174029144731822690165560387579156176"
"圣路","0.000137331197070267795834287022201876859693"
"吉姆西","0.00004577706569008926527809567406729228656443"
"万丰","0.00001525902189669642175936522468909742885481"
"汇众","0.00009155413138017853055619134813458457312886"
"粤海","0.00003051804379339284351873044937819485770962"
"马自达","0.000152590218966964217593652246890974288548"
"特商","0.00001525902189669642175936522468909742885481"
"中洁","0.00003051804379339284351873044937819485770962"
"宾利","0.00003051804379339284351873044937819485770962"
"多士星","0.00001525902189669642175936522468909742885481"
"云雀","0.00003051804379339284351873044937819485770962"
"力帆(重庆)","0.00007629510948348210879682612344548714427405"
"十通","0.00007629510948348210879682612344548714427405"
"双环","0.00003051804379339284351873044937819485770962"
"观致","0.00001525902189669642175936522468909742885481"
"春兰","0.00001525902189669642175936522468909742885481"
"羊城","0.00003051804379339284351873044937819485770962"
"鲁旭达","0.00001525902189669642175936522468909742885481"
"天汽美亚","0.00004577706569008926527809567406729228656443"
"桂林大宇","0.00007629510948348210879682612344548714427405"
"玛莎拉蒂","0.00007629510948348210879682612344548714427405"
"杭州东风","0.00001525902189669642175936522468909742885481"
"蓝港","0.00001525902189669642175936522468909742885481"
"齐安","0.00001525902189669642175936522468909742885481"
"川消","0.00004577706569008926527809567406729228656443"
"拉达","0.00003051804379339284351873044937819485770962"
"沃尔沃(华沃)","0.00001525902189669642175936522468909742885481"
"其他品牌","0.00001525902189669642175936522468909742885481"
"环达","0.00001525902189669642175936522468909742885481"
"骜通","0.00001525902189669642175936522468909742885481"
"上汽通用雪佛兰","0.0275120164797436484321355001144426642252"
"迷你","0.001724269474326695658808270389868009460594"
"四川一汽丰田","0.006500343327992675669489585717555504692149"
"中国重汽","0.002197299153124284733348592355230029755093"
"大众","0.004898146028839551384756237125200274662394"
"吉利帝豪","0.003112840466926070038910505836575875486381"
"东南","0.002166781109330891889829861905851834897383"
"哈飞","0.005020218204013122758831158922713054093233"
"郑州海马","0.00004577706569008926527809567406729228656443"
"北京汽车","0.003006027313649195086594949263752193484398"
"一汽奔腾","0.005722133211261158159761959258411535820554"
"一汽红旗","0.000305180437933928435187304493781948577096"
"英菲尼迪","0.002395666437781338216220340276188296330205"
"欧宝","0.00009155413138017853055619134813458457312886"
"金龙","0.000686655985351338979171435111009384298466"
"开乐","0.000213626306553749904631113145647364003967"
"南京菲亚特","0.000564583810177767605096513313496604867628"
"铃木","0.000518806744487678339818417639429312581064"
"海南马自达","0.000289921416037232013427939269092851148241"
"迅力","0.00001525902189669642175936522468909742885481"
"上海大通","0.00004577706569008926527809567406729228656443"
"豫新","0.00001525902189669642175936522468909742885481"
"宝沃","0.000152590218966964217593652246890974288548"
"神狐","0.00006103608758678568703746089875638971541924"
"陆霸","0.00003051804379339284351873044937819485770962"
"琴岛","0.00003051804379339284351873044937819485770962"
"森远","0.00003051804379339284351873044937819485770962"
"宇田","0.00001525902189669642175936522468909742885481"
"三兴","0.00009155413138017853055619134813458457312886"
"金银湖","0.00001525902189669642175936522468909742885481"
"申龙骏马","0.00007629510948348210879682612344548714427405"
"一汽大发","0.00001525902189669642175936522468909742885481"
"骊山","0.00001525902189669642175936522468909742885481"
"鲁岳","0.00001525902189669642175936522468909742885481"
"兆阳","0.00001525902189669642175936522468909742885481"
"鲁威","0.00003051804379339284351873044937819485770962"
"驰乐","0.00001525902189669642175936522468909742885481"
"飞花","0.00001525902189669642175936522468909742885481"
"希尔","0.00001525902189669642175936522468909742885481"
"长安","0.0288395513847562371252002746623941405356"
"路虎","0.004043640802624551766231784542610818646525"
"广汽丰田","0.0172426947432669565880827038986800946059"
"东风风行","0.003448538948653391317616540779736018921187"
"长城","0.007629510948348210879682612344548714427405"
"东风商用车","0.002014190890363927672236209658960860608835"
"广汽菲亚特","0.00164797436484321355001144426642252231632"
"金旅","0.00044251163500419623102159151598382543679"
"徐工","0.000335698481727321278706034943160143434806"
"野马","0.000274662394140535591668574044403753719387"
"丰田","0.004455634393835355153734645609216449225605"
"上汽通用凯迪拉克","0.001846341649500267032883192187380788891432"
"开瑞","0.000869764248111696040283817807278553444724"
"柳州五菱","0.00007629510948348210879682612344548714427405"
"英伦","0.002151522087434195468070496681162737468528"
"日产","0.000518806744487678339818417639429312581064"
"郑州东风","0.000671396963454642557412069886320286869612"
"雷诺","0.000854505226214999618524452582589456015869"
"三一重工","0.000167849240863660639353017471580071717403"
"程力威","0.000137331197070267795834287022201876859693"
"北方重工","0.000198367284657053482871747920958266575113"
"中兴","0.000717174029144731822690165560387579156176"
"福建奔驰","0.000549324788281071183337148088807507438773"
"飞雁","0.00004577706569008926527809567406729228656443"
"一汽欧朗","0.00007629510948348210879682612344548714427405"
"环风","0.00001525902189669642175936522468909742885481"
"福汽启腾","0.000213626306553749904631113145647364003967"
"申沃","0.00004577706569008926527809567406729228656443"
"解放(一汽红塔)","0.000106813153276874952315556572823682001984"
"华普","0.000259403372243839169909208819714656290532"
"凯翼","0.00009155413138017853055619134813458457312886"
"石煤","0.00003051804379339284351873044937819485770962"
"京探","0.00004577706569008926527809567406729228656443"
"洁神","0.00001525902189669642175936522468909742885481"
"广通","0.00001525902189669642175936522468909742885481"
"华劲","0.00004577706569008926527809567406729228656443"
"宇通重工","0.00003051804379339284351873044937819485770962"
"风潮","0.00003051804379339284351873044937819485770962"
"阿尔法罗密欧","0.00003051804379339284351873044937819485770962"
"大迪","0.00001525902189669642175936522468909742885481"
"北铃","0.00003051804379339284351873044937819485770962"
"广州五十铃","0.00001525902189669642175936522468909742885481"
"奥赛","0.00001525902189669642175936522468909742885481"
"楚天","0.00001525902189669642175936522468909742885481"
"华菱之星","0.00001525902189669642175936522468909742885481"
"东风日产","0.0482185091935606927595941100175478751812"
"吉利","0.0231326771953917753871976806286717021439"
"天津一汽丰田","0.0186923018234531166552224002441443503471"
"长安马自达","0.003158617532616159304188601510643167772946"
"跃进","0.001876859693293659876401922636758983749142"
"东风标致","0.0113832303349355306324864576180666819257"
"吉普","0.003158617532616159304188601510643167772946"
"华晨宝马","0.011352712291142137788967727168688487068"
"东风","0.003433279926756694895857175555046921492332"
"梅赛德斯-奔驰","0.005081254291599908445868619821469443808652"
"广汽三菱","0.003356984817273212787060349431601434348058"
"精灵Smart","0.002075226977950713359273670557717250324254"
"起亚","0.001922636758983749141680018310826276035706"
"鸿雁(济南)","0.000183108262760357061112382696269169146258"
"庆铃(五十铃)","0.000671396963454642557412069886320286869612"
"猎豹","0.002609292744335088120851453421835660334173"
"中汽","0.00006103608758678568703746089875638971541924"
"瑞麒","0.000595101853971160448615243762874799725338"
"纳智捷","0.000656137941557946135652704661631189440757"
"上汽通用五菱雪佛兰","0.001266498817425803006027313649195086594949"
"现代","0.002532997634851606012054627298390173189899"
"魏派","0.000488288700694285496299687190051117723354"
"东方红","0.00003051804379339284351873044937819485770962"
"江特","0.00006103608758678568703746089875638971541924"
"雪佛兰","0.000274662394140535591668574044403753719387"
"长丰三菱","0.000427252613107499809262226291294728007935"
"奇瑞捷豹","0.000335698481727321278706034943160143434806"
"路飞","0.00001525902189669642175936522468909742885481"
"冰熊","0.00003051804379339284351873044937819485770962"
"上汽大通","0.000350957503624017700465400167849240863661"
"广汽本田理念","0.000335698481727321278706034943160143434806"
"鲸象","0.00001525902189669642175936522468909742885481"
"安徽合力","0.00006103608758678568703746089875638971541924"
"北京吉普","0.000198367284657053482871747920958266575113"
"神宇","0.00004577706569008926527809567406729228656443"
"金杯通用雪佛兰","0.00003051804379339284351873044937819485770962"
"广汽讴歌","0.000137331197070267795834287022201876859693"
"长丰扬子","0.00007629510948348210879682612344548714427405"
"中通客车","0.000183108262760357061112382696269169146258"
"南汽新雅途","0.00001525902189669642175936522468909742885481"
"悍马","0.00007629510948348210879682612344548714427405"
"临工","0.00004577706569008926527809567406729228656443"
"川腾","0.00003051804379339284351873044937819485770962"
"安凯","0.000183108262760357061112382696269169146258"
"本田","0.00001525902189669642175936522468909742885481"
"沈飞","0.00001525902189669642175936522468909742885481"
"利达","0.00001525902189669642175936522468909742885481"
"威麟","0.000122072175173571374074921797512779430838"
"少林","0.000122072175173571374074921797512779430838"
"东南道奇","0.00001525902189669642175936522468909742885481"
"长安(跨越)","0.00003051804379339284351873044937819485770962"
"俊风","0.00006103608758678568703746089875638971541924"
"柳州东风","0.00004577706569008926527809567406729228656443"
"一汽华利","0.00001525902189669642175936522468909742885481"
"天河","0.00003051804379339284351873044937819485770962"
"长安谛艾仕","0.00004577706569008926527809567406729228656443"
"培新","0.00001525902189669642175936522468909742885481"
"沃德利","0.00003051804379339284351873044937819485770962"
"驼马","0.00001525902189669642175936522468909742885481"
"上海通用别克","0.003875791561760891126878767071030746929122"
"夏利","0.0180056458381017776760509651331349660487"
"一汽大众","0.0854505226214999618524452582589456015869"
"雷克萨斯","0.001968413824673838406958113984893568322271"
"上海通用雪佛兰","0.003295948729686427100022888532845044632639"
"北京奔驰","0.008758678568703746089875638971541924162661"
"福田","0.008148317692835889219501029983978027008469"
"上海大众斯柯达","0.002456702525368123903257801174944686045624"
"金杯","0.006652933546959639887083237964446478980697"
"华晨中华","0.00358587014572365911345082780193789578088"
"上海大众","0.005935759517814908064393072404058899824521"
"MG名爵","0.003540093080033569848172732127870603494316"
"华泰现代","0.002746623941405355916685740444037537193866"
"一汽吉林","0.001007095445181963836118104829480430304417"
"众泰","0.003341725795376516365300984206912336919203"
"中集","0.000350957503624017700465400167849240863661"
"潍柴汽车","0.000152590218966964217593652246890974288548"
"北汽新能源","0.00004577706569008926527809567406729228656443"
"保时捷","0.001083390554665445944914930952925917448692"
"陕汽","0.000488288700694285496299687190051117723354"
"华骏","0.000320439459830624856946669718471046005951"
"中联重工","0.000259403372243839169909208819714656290532"
"宏昌天马","0.000274662394140535591668574044403753719387"
"北京三菱","0.000320439459830624856946669718471046005951"
"克莱斯勒","0.000274662394140535591668574044403753719387"
"江西五十铃","0.00009155413138017853055619134813458457312886"
"黄海","0.000488288700694285496299687190051117723354"
"冀骏","0.00009155413138017853055619134813458457312886"
"劲越","0.00001525902189669642175936522468909742885481"
"畅达","0.000137331197070267795834287022201876859693"
"华神","0.000137331197070267795834287022201876859693"
"海德","0.00004577706569008926527809567406729228656443"
"凌宇","0.00001525902189669642175936522468909742885481"
"东风(东风股份)","0.00003051804379339284351873044937819485770962"
"大力","0.00003051804379339284351873044937819485770962"
"山西大运","0.00001525902189669642175936522468909742885481"
"柳工","0.00006103608758678568703746089875638971541924"
"海虹","0.00006103608758678568703746089875638971541924"
"西北","0.00003051804379339284351873044937819485770962"
"金程","0.00003051804379339284351873044937819485770962"
"英田","0.00001525902189669642175936522468909742885481"
"飞球","0.00003051804379339284351873044937819485770962"
"长鹿","0.00003051804379339284351873044937819485770962"
"红旗凯沃","0.00003051804379339284351873044937819485770962"
"斯堪尼亚","0.00003051804379339284351873044937819485770962"
"白鸟","0.00001525902189669642175936522468909742885481"
"车系","概率"
"狮跑/智跑","0.0122072175173571374074921797512779430838"
"荣威550","0.001861600671396963454642557412069886320287"
"悦翔V5","0.000366216525520714122224765392538338292515"
"哈弗H1","0.002136263065537499046311131456473640039673"
"东风雪铁龙C5","0.000854505226214999618524452582589456015869"
"启辰R50","0.001022354467078660257877470054169527733272"
"长城C30","0.001083390554665445944914930952925917448692"
"华晨宝马X1","0.002090485999847409781033035782406347753109"
"玛驰","0.000366216525520714122224765392538338292515"
"北京奔驰GLK级","0.001434348058289463645380331120775158312352"
"朗行","0.002136263065537499046311131456473640039673"
"东风悦达起亚K3","0.00444037537193865873197528038452735179675"
"劲炫","0.002151522087434195468070496681162737468528"
"北京现代ix35","0.006088349736781872281986724650949874113069"
"哈弗H2S","0.000274662394140535591668574044403753719387"
"路尊","0.000457770656900892652780956740672922865644"
"东风雪铁龙C4L","0.000534065766384374761577782864118410009918"
"东风标致301","0.001678492408636606393530174715800717174029"
"昕锐","0.005523765926604104676890211337453269245441"
"自由光","0.001144426642252231631952391851682307164111"
"锐腾","0.001022354467078660257877470054169527733272"
"自由舰","0.003906309605554283970397497520408941786831"
"金鹰","0.000427252613107499809262226291294728007935"
"逸动XT","0.000595101853971160448615243762874799725338"
"北汽威旺M20","0.000152590218966964217593652246890974288548"
"逸致","0.00041199359121080338750286106660563057908"
"北京40","0.00041199359121080338750286106660563057908"
"长城特种车","0.000686655985351338979171435111009384298466"
"名图","0.00202944991226062409399557488364995803769"
"索纳塔","0.004135194934004730296787975890745403219654"
"宝骏310W","0.000274662394140535591668574044403753719387"
"众泰T700","0.000152590218966964217593652246890974288548"
"比亚迪F0","0.005523765926604104676890211337453269245441"
"比亚迪S7","0.000366216525520714122224765392538338292515"
"奔腾B30","0.000335698481727321278706034943160143434806"
"远景","0.004898146028839551384756237125200274662394"
"利亚纳","0.000274662394140535591668574044403753719387"
"沃尔沃XC90","0.000427252613107499809262226291294728007935"
"庆铃N系列商用车","0.00009155413138017853055619134813458457312886"
"英菲尼迪G系列(Q50/Q60)","0.000259403372243839169909208819714656290532"
"千里马","0.000671396963454642557412069886320286869612"
"景逸","0.001480125123979552910658426794842450598917"
"解放J4(P1)","0.002166781109330891889829861905851834897383"
"LANNIA 蓝鸟","0.001129167620355535210193026626993209735256"
"阁瑞斯","0.000457770656900892652780956740672922865644"
"北汽新能源EC系列","0.00004577706569008926527809567406729228656443"
"众泰Z500","0.000106813153276874952315556572823682001984"
"迈凯MACAN","0.000350957503624017700465400167849240863661"
"帝豪GS","0.001159685664148928053711757076371404592966"
"柳州五菱微卡","0.00007629510948348210879682612344548714427405"
"凯尊CADENZA","0.00006103608758678568703746089875638971541924"
"奔驰B级","0.000640878919661249713893339436942092011902"
"菱悦","0.001037613488975356679636835278858625162127"
"东风标致2008","0.00079346913862821393148699168383306630045"
"北京奔驰GLA级","0.001007095445181963836118104829480430304417"
"比亚迪G6","0.000320439459830624856946669718471046005951"
"雅绅特","0.001602197299153124284733348592355230029755"
"幻速S3","0.00038147554741741054398413061722743572137"
"上元舞台车","0.000122072175173571374074921797512779430838"
"SPARK乐驰","0.001266498817425803006027313649195086594949"
"锦重汽车起重机","0.00004577706569008926527809567406729228656443"
"上海通用凯迪拉克CT6","0.00006103608758678568703746089875638971541924"
"宝马5系","0.000350957503624017700465400167849240863661"
"维拉克斯VERACRUZ","0.000427252613107499809262226291294728007935"
"悦翔V7","0.000717174029144731822690165560387579156176"
"一汽奥迪A3","0.001709010452429999237048905165178912031739"
"哈弗H7","0.000213626306553749904631113145647364003967"
"福特F系","0.000274662394140535591668574044403753719387"
"金旅7米公路客车","0.00004577706569008926527809567406729228656443"
"中华H530","0.000152590218966964217593652246890974288548"
"圣达菲5","0.00006103608758678568703746089875638971541924"
"大运牵引汽车","0.00006103608758678568703746089875638971541924"
"探险者EXPLORER","0.000335698481727321278706034943160143434806"
"哈弗M6","0.000106813153276874952315556572823682001984"
"程力威平板运输车","0.00001525902189669642175936522468909742885481"
"魏派VV7","0.00038147554741741054398413061722743572137"
"郑州宇通7米公路客车","0.000228885328450446326390478370336461432822"
"远景SUV","0.000289921416037232013427939269092851148241"
"盛世","0.00003051804379339284351873044937819485770962"
"解放J4长头系列","0.00003051804379339284351873044937819485770962"
"爱腾ACTYON","0.00009155413138017853055619134813458457312886"
"旗舰","0.000167849240863660639353017471580071717403"
"奇瑞QQ6","0.000198367284657053482871747920958266575113"
"辉昂","0.000167849240863660639353017471580071717403"
"菱绅","0.00004577706569008926527809567406729228656443"
"江西五十铃mu-X","0.00007629510948348210879682612344548714427405"
"奥迪A6","0.00006103608758678568703746089875638971541924"
"东南DX7","0.000137331197070267795834287022201876859693"
"长城C20R","0.000152590218966964217593652246890974288548"
"金牛座","0.000213626306553749904631113145647364003967"
"克莱斯勒300","0.000122072175173571374074921797512779430838"
"福田12米公路客车","0.00003051804379339284351873044937819485770962"
"时风载货车","0.00001525902189669642175936522468909742885481"
"乘龙货车","0.000427252613107499809262226291294728007935"
"炫丽","0.000503547722590981918059052414740215152209"
"骑士","0.000167849240863660639353017471580071717403"
"公爵CEDRIC","0.00001525902189669642175936522468909742885481"
"哈弗H8","0.00006103608758678568703746089875638971541924"
"奔驰E级","0.000244144350347142748149843595025558861677"
"坦途TUNDRA","0.00007629510948348210879682612344548714427405"
"宝马4系","0.00001525902189669642175936522468909742885481"
"路盛E70","0.000137331197070267795834287022201876859693"
"畅达专用车","0.000137331197070267795834287022201876859693"
"吉奥GX6","0.00004577706569008926527809567406729228656443"
"奥迪Q5","0.000152590218966964217593652246890974288548"
"老虎","0.00006103608758678568703746089875638971541924"
"长安马自达2","0.00041199359121080338750286106660563057908"
"艾力绅","0.00044251163500419623102159151598382543679"
"飞思VELOSTER","0.000106813153276874952315556572823682001984"
"斯威X7","0.000167849240863660639353017471580071717403"
"陆风X8","0.00006103608758678568703746089875638971541924"
"洁神垃圾车","0.00001525902189669642175936522468909742885481"
"开迪","0.00001525902189669642175936522468909742885481"
"沈飞10米公路客车","0.00001525902189669642175936522468909742885481"
"华劲半挂车","0.00004577706569008926527809567406729228656443"
"中通物流车","0.00006103608758678568703746089875638971541924"
"众泰5008(乐睿)","0.000198367284657053482871747920958266575113"
"宝沃BX7","0.000122072175173571374074921797512779430838"
"欧曼昆仑","0.000366216525520714122224765392538338292515"
"宏光S3","0.00001525902189669642175936522468909742885481"
"森远除雪车","0.00003051804379339284351873044937819485770962"
"宝马2系","0.00009155413138017853055619134813458457312886"
"东岳重工汽车起重机","0.00009155413138017853055619134813458457312886"
"酷路泽FJ CRUISER","0.00004577706569008926527809567406729228656443"
"郑州宇通6米公路客车","0.00003051804379339284351873044937819485770962"
"利达混凝土搅拌车","0.00001525902189669642175936522468909742885481"
"劳恩斯ROHENS","0.00004577706569008926527809567406729228656443"
"中通6米公路客车","0.00003051804379339284351873044937819485770962"
"精功自卸汽车","0.00001525902189669642175936522468909742885481"
"阿尔法罗密欧GIULIA","0.00003051804379339284351873044937819485770962"
"普力马","0.000152590218966964217593652246890974288548"
"华凯载货车","0.00003051804379339284351873044937819485770962"
"公羊RAM","0.00007629510948348210879682612344548714427405"
"坚盾专用车","0.00001525902189669642175936522468909742885481"
"金运","0.00007629510948348210879682612344548714427405"
"北汽轻型货车","0.00003051804379339284351873044937819485770962"
"骏马","0.00003051804379339284351873044937819485770962"
"安凯11米公路客车","0.00003051804379339284351873044937819485770962"
"万荣半挂车","0.00001525902189669642175936522468909742885481"
"一汽红塔轻卡","0.00001525902189669642175936522468909742885481"
"青专自卸车","0.00001525902189669642175936522468909742885481"
"翼虎MAVERICK","0.00001525902189669642175936522468909742885481"
"东风L系列","0.00001525902189669642175936522468909742885481"
"程力威洒水车","0.00001525902189669642175936522468909742885481"
"漫步者PT CRUISER","0.00004577706569008926527809567406729228656443"
"幻速H2V","0.00003051804379339284351873044937819485770962"
"霸龙","0.00003051804379339284351873044937819485770962"
"一汽佳星幸福使者","0.00001525902189669642175936522468909742885481"
"舒驰6米公路客车","0.00003051804379339284351873044937819485770962"
"申沃12米公路客车","0.00001525902189669642175936522468909742885481"
"酷派COUPE","0.000152590218966964217593652246890974288548"
"风行F600","0.00001525902189669642175936522468909742885481"
"丘比特","0.00006103608758678568703746089875638971541924"
"东风风神AX5","0.00001525902189669642175936522468909742885481"
"迷迪","0.00001525902189669642175936522468909742885481"
"龙工装载机","0.00001525902189669642175936522468909742885481"
"宝石低速货车","0.00001525902189669642175936522468909742885481"
"骏逸","0.00001525902189669642175936522468909742885481"
"奥赛通讯车","0.00001525902189669642175936522468909742885481"
"天顺半挂车","0.00001525902189669642175936522468909742885481"
"希尔旅居车","0.00001525902189669642175936522468909742885481"
