"车系","不续保车系概率"
"众泰E200","0.000037940585044"
"都灵V","0.000417346435482"
"赛马","0.000341465265394"
"缤智","0.00089160374853"
"揽胜极光RANGE ROVER EVOQUE","0.000607049360701"
"时代康瑞","0.000151762340175"
"东风风神A60","0.000265584095307"
"荣威W5","0.000303524680351"
"凯宴CAYENNE","0.000588079068179"
"挑战者","0.000018970292522"
"和悦A13","0.000075881170088"
"圣路运钞车","0.000132792047653"
"悦纳","0.000417346435482"
"奥丁","0.000056910877566"
"传祺GA3","0.000113821755131"
"中集粉粒物料运输车","0.000018970292522"
"中通7米公路客车","0.000037940585044"
"华神随车起重运输车","0.000132792047653"
"优利欧","0.000170732632697"
"萨普","0.000360435557916"
"锐意","0.000113821755131"
"小老虎","0.000075881170088"
"同悦","0.000588079068179"
"粤海清障车","0.000037940585044"
"广通专用车","0.000018970292522"
"名爵MG 5","0.000075881170088"
"吉悦半挂车","0.000037940585044"
"北汽威旺M50F","0.000037940585044"
"传祺GS3","0.000037940585044"
"大陆CONTINENTAL","0.000037940585044"
"林肯MKX","0.000056910877566"
"长安CX30","0.00009485146261"
"赛弗","0.000037940585044"
"大运载货汽车","0.000018970292522"
"凯普特","0.000018970292522"
"亚洁其他车辆","0.000018970292522"
"双环SCEO","0.000037940585044"
"北方重工喷洒车","0.000132792047653"
"威麟X系列","0.000056910877566"
"东风纯电动厢式运输车","0.000018970292522"
"领弛","0.000018970292522"
"沃尔沃XC CLASSIC","0.000018970292522"
"东风风神AX4","0.000037940585044"
"林肯MKC","0.000075881170088"
"斯巴鲁BRZ","0.000018970292522"
"东方之子CROSS","0.000018970292522"
"马自达626","0.000018970292522"
"中天之星旅居车","0.000018970292522"
"长安V5","0.000018970292522"
"尼瓦NIVA","0.000037940585044"
"菲跃FREEMONT","0.000018970292522"
"时风低速货车","0.000018970292522"
"五征三轮汽车","0.000018970292522"
"和悦A30","0.000018970292522"
"江特清障车","0.000037940585044"
"其他车辆","0.000018970292522"
"鲁岳半挂车","0.000018970292522"
"龙卡","0.000018970292522"
"解放载货汽车","0.000018970292522"
"环达商务车","0.000018970292522"
"神狐半挂车","0.000018970292522"
"哈弗H1","0.002257464810107"
"东风雪铁龙C5","0.000815722578442"
"长城C30","0.001176158136358"
"朗行","0.002295405395151"
"哈弗H2S","0.000341465265394"
"昕锐","0.004401107865083"
"自由舰","0.004116553477255"
"金鹰","0.000474257313048"
"北汽威旺M20","0.000189702925219"
"逸致","0.00039837614296"
"长城特种车","0.000834692870964"
"名图","0.002143643054976"
"比亚迪S7","0.000455287020526"
"远景","0.005634176879007"
"英菲尼迪G系列(Q50/Q60)","0.000208673217741"
"千里马","0.000758811700876"
"景逸","0.00168835603445"
"东风悦达起亚K3","0.004780513715521"
"北汽新能源EC系列","0.000056910877566"
"迈凯MACAN","0.000322494972872"
"锐腾","0.000929544333574"
"菱悦","0.00119512842888"
"雅绅特","0.001764237204538"
"荣威550","0.001821148082103"
"幻速S3","0.000455287020526"
"宝马5系","0.000341465265394"
"维拉克斯VERACRUZ","0.000455287020526"
"LANNIA 蓝鸟","0.000948514626096"
"金旅7米公路客车","0.000056910877566"
"沃尔沃XC90","0.00039837614296"
"哈弗M6","0.000113821755131"
"程力威平板运输车","0.000018970292522"
"一汽奥迪A3","0.001138217551315"
"郑州宇通7米公路客车","0.000284554387829"
"远景SUV","0.000360435557916"
"盛世","0.000037940585044"
"爱腾ACTYON","0.00009485146261"
"奇瑞QQ6","0.000189702925219"
"福田12米公路客车","0.000037940585044"
"哈弗H8","0.000075881170088"
"坦途TUNDRA","0.00009485146261"
"长安马自达2","0.00049322760557"
"飞思VELOSTER","0.000132792047653"
"陆风X8","0.000075881170088"
"洁神垃圾车","0.000018970292522"
"开迪","0.000018970292522"
"中通物流车","0.000075881170088"
"斯威X7","0.000189702925219"
"众泰5008(乐睿)","0.000208673217741"
"宝沃BX7","0.000151762340175"
"欧曼昆仑","0.000436316728004"
"宏光S3","0.000018970292522"
"路盛E70","0.000132792047653"
"森远除雪车","0.000037940585044"
"宝马2系","0.00009485146261"
"东岳重工汽车起重机","0.00009485146261"
"乘龙货车","0.000151762340175"
"金牛座","0.000151762340175"
"郑州宇通6米公路客车","0.000037940585044"
"劳恩斯ROHENS","0.000056910877566"
"中通6米公路客车","0.000037940585044"
"辉昂","0.000075881170088"
"公羊RAM","0.00009485146261"
"坚盾专用车","0.000018970292522"
"金运","0.00009485146261"
"骏马","0.000037940585044"
"安凯11米公路客车","0.000037940585044"
"一汽红塔轻卡","0.000018970292522"
"幻速H2V","0.000037940585044"
"霸龙","0.000037940585044"
"舒驰6米公路客车","0.000037940585044"
"丘比特","0.000056910877566"
"东风风神AX5","0.000018970292522"
"迷迪","0.000018970292522"
"龙工装载机","0.000018970292522"
"白鸟流动售卖车","0.000018970292522"
"汉腾X5","0.000037940585044"
"明锐","0.014967560799788"
"途胜","0.006165345069621"
"花冠/卡罗拉","0.010395720302007"
"北京现代ix25","0.001365861061578"
"捷达","0.025097697006488"
"钻卡","0.000246613802785"
"高尔夫","0.011344234928103"
"骏捷","0.002333345980195"
"别克GL8","0.005140949273438"
"翼虎","0.001365861061578"
"一汽哈轻轻卡","0.000379405850438"
"思域","0.002864514170809"
"秀尔","0.000758811700876"
"菱致","0.000360435557916"
"途安","0.000815722578442"
"众泰SR7","0.000265584095307"
"一汽马自达6","0.002750692415677"
"红岩自卸车","0.001005425503661"
"宝迪","0.00049322760557"
"TRAX创酷","0.000739841408355"
"皇冠","0.001005425503661"
"猎豹CS7","0.00009485146261"
"昊锐","0.002257464810107"
"陆风X7","0.000189702925219"
"KX CROSS","0.000075881170088"
"蒙迪欧","0.002542019197936"
"南骏货车","0.000132792047653"
"阳光","0.004249345524908"
"优劲","0.000208673217741"
"北汽绅宝D50","0.002124672762454"
"菱帅","0.000303524680351"
"启悦","0.000170732632697"
"东风标致206","0.000341465265394"
"解放J4(P4)","0.000227643510263"
"瑞风S2 mini","0.000018970292522"
"格尔发L系列","0.000037940585044"
"宝马1系","0.000948514626096"
"东风6米客车","0.000037940585044"
"华骏半挂车","0.000208673217741"
"元","0.00039837614296"
"江淮微卡","0.000037940585044"
"英菲尼迪JX系列(QX60)","0.000227643510263"
"小霸王","0.000474257313048"
"瑞风S5","0.000417346435482"
"艾瑞泽M7","0.00009485146261"
"特顺","0.000075881170088"
"长安微卡","0.000360435557916"
"凯马厢式运输车","0.000151762340175"
"江淮10米城市客车","0.000056910877566"
"雷斯特REXTON","0.00009485146261"
"瑞鹰","0.000417346435482"
"长安马自达CX-5","0.000284554387829"
"长安轻卡","0.000075881170088"
"赛豹","0.000151762340175"
"奥迪A5","0.000265584095307"
"悦悦","0.00009485146261"
"传祺GA3S视界","0.000474257313048"
"宝骏730","0.000663960238267"
"优尼柯","0.000018970292522"
"海德垃圾车","0.000056910877566"
"一汽红塔自卸车","0.000075881170088"
"海格12米公路客车","0.000113821755131"
"宝骏310","0.000246613802785"
"本田CR-Z","0.000018970292522"
"特商随车起重运输车","0.000018970292522"
"奥迪Q3","0.000056910877566"
"众泰2008","0.000151762340175"
"大力士半挂车","0.00009485146261"
"三力垃圾车","0.00009485146261"
"海虹汽车起重机","0.000075881170088"
"陆风X6","0.000037940585044"
"捷豹XEL","0.000018970292522"
"长丰扬子皮卡","0.000075881170088"
"解放J4(P)","0.00009485146261"
"域虎","0.000132792047653"
"海域","0.000056910877566"
"君爵GRANDEUR","0.000037940585044"
"江西五十铃D-MAX","0.000018970292522"
"江淮其他货车","0.000037940585044"
"海尚","0.00009485146261"
"标致4008","0.000018970292522"
"海马M3","0.000018970292522"
"越铃","0.000018970292522"
"幻速H3","0.000018970292522"
"帕萨特","0.020620707971317"
"帝豪EC","0.002542019197936"
"奔奔","0.001859088667147"
"宏光","0.005046097810828"
"通用五菱微卡","0.000701900823311"
"得意","0.000758811700876"
"瑞风S3","0.001669385741928"
"豪泺(HOWO)-A7","0.000170732632697"
"牧马人WRANGLER","0.000474257313048"
"一汽奥迪A6","0.014189778806389"
"海格8米公路客车","0.00009485146261"
"长安沃尔沃S80","0.000474257313048"
"秦","0.000113821755131"
"荣威RX5","0.001327920476534"
"骊威","0.002693781538111"
"猎豹CS6","0.000360435557916"
"炫威XR-V","0.001764237204538"
"东风标致207","0.002504078612892"
"佳宝","0.000436316728004"
"宝骏630","0.000872633456008"
"富利卡","0.000075881170088"
"哈弗H2","0.001612474864362"
"赛酷","0.000132792047653"
"中燕厢式运输车","0.000075881170088"
"德龙","0.000436316728004"
"拓陆者","0.000056910877566"
"海马S7","0.000151762340175"
"甲壳虫BEETLE","0.000588079068179"
"星锐","0.000075881170088"
"陆铃","0.000056910877566"
"英菲尼迪M系列(Q70)","0.000265584095307"
"速锐","0.001119247258793"
"歌诗图","0.000967484918617"
"悦翔","0.000626019653223"
"途昂","0.00039837614296"
"程力威售货车","0.000037940585044"
"欧铃厢式运输车","0.000037940585044"
"众泰Z300","0.000379405850438"
"CA7220","0.000018970292522"
"途乐PATROL","0.000227643510263"
"北汽绅宝D60","0.000037940585044"
"柯兰多KORAND","0.000455287020526"
"济南鸿雁邮政车","0.000151762340175"
"凌宇粉粒物料运输车","0.000018970292522"
"一汽马自达CX-4","0.000284554387829"
"青年莲花L3","0.000151762340175"
"普瑞维亚PREVIA","0.00009485146261"
"川腾半挂车","0.000037940585044"
"超利卡","0.000170732632697"
"郑州日产NV200","0.000151762340175"
"斯帕可SPARK","0.000037940585044"
"东风随车起重运输车","0.000037940585044"
"魏派VV5","0.000075881170088"
"北京克莱斯勒300C","0.000037940585044"
"幻速H3F","0.000113821755131"
"东风标致308S","0.000056910877566"
"西北指挥车","0.000037940585044"
"中兴C3","0.000018970292522"
"三一混凝土搅拌车","0.000075881170088"
"时代瑞沃","0.000132792047653"
"驰鹏TRIBECA","0.000037940585044"
"神骐F30","0.000056910877566"
"城市TOWN CAR","0.000018970292522"
"途睿欧","0.000018970292522"
"众泰SR9","0.000056910877566"
"飞碟仓栅式运输车","0.000037940585044"
"赛纳","0.000037940585044"
"一汽马自达CX-7","0.000037940585044"
"猎锐YETI","0.000018970292522"
"瑞麒G系列","0.000018970292522"
"王牌低速货车","0.000018970292522"
"骜通半挂车","0.000018970292522"
"华菱之星载货车","0.000018970292522"
"景程","0.00178320749706"
"自由客PATRIOT","0.000701900823311"
"傲虎OUTBACK","0.000626019653223"
"帝豪","0.003964791137079"
"昂科威","0.003661266456729"
"奥拓","0.002162613347498"
"凌渡","0.002029821299844"
"豪泺(HOWO)","0.001043366088705"
"逸动","0.001365861061578"
"波罗","0.009636908601131"
"海星","0.00039837614296"
"中华V3","0.000436316728004"
"风行","0.00159350457184"
"中汽路面养护车","0.000037940585044"
"风行S500","0.000170732632697"
"奔驰A级","0.000246613802785"
"小虎","0.000588079068179"
"爱丽舍","0.003395682361422"
"域胜007","0.000056910877566"
"北京奔驰GLC级","0.000322494972872"
"宝利格","0.000512197898092"
"红旗H7","0.000075881170088"
"猎豹Q6","0.000246613802785"
"威达VECTRA","0.000037940585044"
"江特高空作业车","0.000037940585044"
"全球鹰GC7","0.000663960238267"
"众泰T600","0.001384831354099"
"北方重工混凝土搅拌车","0.000018970292522"
"英伦SX7","0.000170732632697"
"宝马X3","0.000967484918617"
"红岩货车","0.000113821755131"
"迅力全挂车","0.000018970292522"
"精灵FORFOUR","0.00009485146261"
"福克斯FOCUS","0.000037940585044"
"福龙马清扫车","0.000208673217741"
"北方重工洒水车","0.00009485146261"
"野马MUSTANG","0.000113821755131"
"奇瑞捷豹XFL","0.000056910877566"
"蓝瑟","0.000663960238267"
"金霸","0.000227643510263"
"奇瑞A3","0.000189702925219"
"时代金刚","0.000227643510263"
"林肯MKZ","0.000151762340175"
"远景X1","0.000246613802785"
"风景海狮","0.000056910877566"
"凯翼X3","0.000075881170088"
"伽途T3","0.000037940585044"
"凯迪拉克ATS","0.000037940585044"
"骏意","0.000018970292522"
"丰顺","0.00009485146261"
"华泰B11","0.000056910877566"
"赛骏","0.000075881170088"
"宇通轻型客车","0.000132792047653"
"欧尚A800","0.00009485146261"
"康霸","0.000037940585044"
"福田其他车辆","0.000037940585044"
"英田低速货车","0.000018970292522"
"少林6米公路客车","0.000075881170088"
"云100","0.000018970292522"
"黄河少帅","0.000056910877566"
"领骐","0.000018970292522"
"瑞虎5X","0.000018970292522"
"庆铃U系列竞技者","0.000037940585044"
"威麟V系列","0.000075881170088"
"锐度V3","0.000037940585044"
"凌傲","0.000018970292522"
"赛铃","0.000037940585044"
"神宇随车起重运输车","0.000018970292522"
"少林11米公路客车","0.000037940585044"
"东方红低速货车","0.000018970292522"
"图雅诺","0.000018970292522"
"启辰D60","0.000018970292522"
"兆阳全挂车","0.000018970292522"
"启辰T70X","0.000018970292522"
"海格轻型客车","0.000037940585044"
"宇通重工散装物料运输车","0.000018970292522"
"发现DISCOVERY","0.000758811700876"
"轩逸","0.007626057593808"
"天籁","0.006317107409796"
"力帆320","0.000663960238267"
"风行SX6","0.000227643510263"
"天津一汽丰田RAV4","0.002390256857761"
"普拉多","0.002712751830633"
"比亚迪F3","0.005121978980916"
"荣光","0.002428197442805"
"爱唯欧","0.00089160374853"
"世嘉","0.00386993967447"
"奔驰ML级","0.000455287020526"
"陆地巡洋舰","0.00079675228592"
"风景爱尔法","0.000910574041052"
"君威","0.005425503661266"
"中集半挂车","0.000227643510263"
"长安CS15","0.000834692870964"
"哈弗H3","0.000815722578442"
"长城M2","0.000284554387829"
"东风标致3008","0.000929544333574"
"时代领航","0.000910574041052"
"全顺新世代","0.000626019653223"
"航天轻型客车","0.000018970292522"
"欧马可","0.000208673217741"
"乐风","0.001859088667147"
"劲客","0.000360435557916"
"东方红垃圾车","0.000018970292522"
"凯马载货车","0.000303524680351"
"豪情","0.000189702925219"
"福田10米公路客车","0.000037940585044"
"奥迪A1","0.000265584095307"
"大捷龙GRAND VOYAGER","0.000132792047653"
"力狮LEGACY","0.000322494972872"
"凯迪拉克CTS","0.000151762340175"
"锐志","0.000853663163486"
"大通V80","0.000284554387829"
"楚胜加油车","0.000037940585044"
"广汽讴歌CDX","0.000113821755131"
"帅虎","0.000037940585044"
"瑞麒M系列","0.000227643510263"
"亚特重工混凝土搅拌车","0.000056910877566"
"伽途V3","0.000056910877566"
"猎豹CS9","0.000151762340175"
"伊思坦纳","0.000113821755131"
"汉兰达HIGHLANDER","0.000075881170088"
"乐风RV","0.000113821755131"
"琴岛载货车","0.000037940585044"
"塔科马TACOMA","0.000018970292522"
"开乐半挂车","0.000037940585044"
"骏铃","0.000246613802785"
"庆铃F系列商用车","0.000018970292522"
"斯巴鲁XV","0.000208673217741"
"中华H3","0.000018970292522"
"运通","0.000018970292522"
"菱仕","0.000132792047653"
"宝马Z4","0.00009485146261"
"威霆","0.000151762340175"
"优雅(瑞麒2)","0.000037940585044"
"郑州宇通9米公路客车","0.000056910877566"
"风朗FLUENCE","0.000037940585044"
"凯领","0.000018970292522"
"安德拉ANTARA","0.000018970292522"
"东风货车","0.000037940585044"
"俊风载货汽车","0.000075881170088"
"唐","0.000056910877566"
"致尚XT","0.000075881170088"
"天河抢险救援消防车","0.000018970292522"
"马自达MAZDA5","0.000056910877566"
"河北福田混凝土泵车","0.000018970292522"
"瑞江半挂车","0.000018970292522"
"全球鹰GX2","0.000018970292522"
"华山","0.000037940585044"
"小超人","0.000018970292522"
"少林7米公路客车","0.000037940585044"
"普锐斯","0.000018970292522"
"海马S5 青春版","0.000018970292522"
"凯马仓栅式运输车","0.000018970292522"
"一汽大众CC","0.002219524225064"
"郑州日产D22","0.001138217551315"
"大马轻型客车","0.000075881170088"
"长安CS75","0.005027127518306"
"奔腾B50","0.002617900368024"
"杰德","0.000607049360701"
"东风风神L60","0.000132792047653"
"松花江微卡","0.000132792047653"
"东风V/W系列","0.000056910877566"
"丰田86","0.000037940585044"
"解放J5P(P21)奥威","0.000132792047653"
"旗云","0.00168835603445"
"开瑞K50","0.000189702925219"
"佳宝AV6","0.000739841408355"
"时代小卡之星","0.001252039306446"
"维特拉","0.000322494972872"
"冠道","0.000322494972872"
"蒙派克","0.000227643510263"
"北汽威旺306","0.000322494972872"
"胜达SANTA FE","0.001745266912016"
"沃尔沃货车","0.000227643510263"
"途欢TIGUAN","0.000682930530789"
"锐欧","0.000701900823311"
"大迈X7","0.00009485146261"
"传祺GS5速博","0.000550138483135"
"中华H230","0.00009485146261"
"戈蓝","0.00009485146261"
"飞雁泡沫消防车","0.000018970292522"
"乘龙牵引车","0.00009485146261"
"竞瑞","0.000113821755131"
"神行者FREELANDER","0.000929544333574"
"海伦哲高空作业车","0.000037940585044"
"雷克萨斯IS系","0.000303524680351"
"帕杰罗","0.000379405850438"
"思锐","0.000037940585044"
"开拓者","0.000037940585044"
"东风风神AX3","0.000189702925219"
"睿骋","0.000075881170088"
"幻速H2","0.000056910877566"
"金杯750","0.000170732632697"
"豫新粉粒物料运输车","0.000018970292522"
"北汽威旺S50","0.000132792047653"
"海狮HIACE","0.000113821755131"
"风景G7","0.00009485146261"
"欧卡","0.000208673217741"
"福建奔驰V级","0.000132792047653"
"成功一号","0.000018970292522"
"豪运(HOYN)","0.000037940585044"
"风潮邮政车","0.000037940585044"
"马自达CX-7","0.000018970292522"
"中华V5","0.000227643510263"
"云豹套牌车","0.000018970292522"
"贵士QUEST","0.000037940585044"
"东南DX3","0.000056910877566"
"帅驰","0.000037940585044"
"广汽10米公路客车","0.000018970292522"
"优派","0.000018970292522"
"奇兵","0.000056910877566"
"博悦BRAVO","0.000018970292522"
"吉博力GHIBLI","0.000037940585044"
"神狐绿化喷洒车","0.000018970292522"
"科帕奇CAPTIVA","0.000208673217741"
"斯太尔王","0.000037940585044"
"蓝港救护车","0.000018970292522"
"长鹿6米公路客车","0.000037940585044"
"顺驰皮卡","0.000018970292522"
"帅客","0.000018970292522"
"仙达混凝土搅拌车","0.000056910877566"
"沃尔沃S80","0.000018970292522"
"雷克萨斯RC系","0.000018970292522"
"博克斯特BOXSTER","0.000018970292522"
"东风长头系列","0.000018970292522"
"豪骏","0.000018970292522"
"徐工自卸汽车","0.000018970292522"
"标致3008","0.000018970292522"
"新飞工随车起重运输车","0.000018970292522"
"一汽奥迪Q5","0.003983761429601"
"长安马自达3","0.002352316272717"
"沃尔沃S60L","0.000701900823311"
"赛拉图","0.003149068558637"
"雷克萨斯RX系","0.000284554387829"
"威朗","0.002067761884888"
"得利卡","0.000132792047653"
"威驰","0.003983761429601"
"翼搏","0.001327920476534"
"庆铃T系列皮卡","0.000208673217741"
"沃尔沃XC60","0.001972910422279"
"长城M4","0.000910574041052"
"金牛星","0.000720871115833"
"揽胜RANGE ROVER","0.001233069013924"
"海马M6","0.000037940585044"
